Age,CustomerSegment,Age_Group,CustomerID,Region,Gender,City,SignUpDate,Year_SignUpDate,Month_SignUpDate,MonthName_SignupDate
29,Standard,Early Adults,CSTMR0001,MARMARA,MALE,ISTANBUL,2020/04/13,2020,4,April
40,Standard,Middle Adults,CSTMR0002,MARMARA,OTHER,ISTANBUL,2020/08/04,2020,8,August
36,Premium,Middle Adults,CSTMR0003,MARMARA,FEMALE,BURSA,2022/08/14,2022,8,August
18,Premium,Young Adults,CSTMR0004,MARMARA,MALE,ISTANBUL,2022/03/26,2022,3,March
43,Premium,Middle Adults,CSTMR0005,AEGEAN,MALE,IZMIR,2021/04/04,2021,4,April
49,Standard,Late Adults,CSTMR0006,MARMARA,OTHER,ISTANBUL,2020/07/02,2020,7,July
36,Premium,Middle Adults,CSTMR0007,MARMARA,MALE,BURSA,2020/10/10,2020,10,October
48,Standard,Late Adults,CSTMR0008,MARMARA,FEMALE,ISTANBUL,2022/03/26,2022,3,March
25,Premium,Young Adults,CSTMR0009,MEDITERRANEAN,FEMALE,ANTALYA,2021/04/21,2021,4,April
43,Standard,Middle Adults,CSTMR0010,CENTRAL ANATOLIA,MALE,ANKARA,2022/11/26,2022,11,November
32,Standard,Early Adults,CSTMR0011,MARMARA,FEMALE,BURSA,2023/03/30,2023,3,March
47,Standard,Late Adults,CSTMR0012,AEGEAN,MALE,IZMIR,2021/07/19,2021,7,July
40,Standard,Middle Adults,CSTMR0013,BLACK SEA,FEMALE,TRABZON,2022/08/19,2022,8,August
28,Premium,Early Adults,CSTMR0014,MARMARA,MALE,ISTANBUL,2023/01/02,2023,1,January
21,Standard,Young Adults,CSTMR0015,CENTRAL ANATOLIA,MALE,ANKARA,2022/07/09,2022,7,July
26,Premium,Early Adults,CSTMR0016,MARMARA,MALE,ISTANBUL,2020/02/05,2020,2,February
49,Standard,Late Adults,CSTMR0017,CENTRAL ANATOLIA,FEMALE,ESKISEHIR,2021/04/15,2021,4,April
45,Standard,Middle Adults,CSTMR0018,MARMARA,FEMALE,BURSA,2022/05/03,2022,5,May
33,Standard,Early Adults,CSTMR0019,MARMARA,MALE,ISTANBUL,2022/12/13,2022,12,December
45,Standard,Middle Adults,CSTMR0020,CENTRAL ANATOLIA,OTHER,ANKARA,2022/09/30,2022,9,September
33,Premium,Early Adults,CSTMR0021,MARMARA,MALE,BURSA,2022/05/16,2022,5,May
43,Standard,Middle Adults,CSTMR0022,MEDITERRANEAN,MALE,ADANA,2021/09/27,2021,9,September
22,Standard,Young Adults,CSTMR0023,CENTRAL ANATOLIA,FEMALE,ANKARA,2022/01/10,2022,1,January
18,VIP,Young Adults,CSTMR0024,MARMARA,FEMALE,BURSA,2022/10/09,2022,10,October
19,Premium,Young Adults,CSTMR0025,MARMARA,MALE,ISTANBUL,2021/05/02,2021,5,May
33,Premium,Early Adults,CSTMR0026,MARMARA,MALE,KOCAELI,2021/12/04,2021,12,December
19,Standard,Young Adults,CSTMR0027,MARMARA,FEMALE,BURSA,2022/09/23,2022,9,September
32,Premium,Early Adults,CSTMR0028,MARMARA,FEMALE,ISTANBUL,2022/12/06,2022,12,December
35,Standard,Early Adults,CSTMR0029,MARMARA,MALE,ISTANBUL,2021/03/07,2021,3,March
60,Premium,Late Adults,CSTMR0030,MARMARA,FEMALE,BURSA,2020/12/22,2020,12,December
