Quantity,UnitCost,UnitPrice,DiscountRate,IsReturned,ReturnTime,OrderID,ProductID,OrderReturned,ReturnDate,Year_ReturnDate,Month_ReturnDate,MonthName_ReturnDate,ReturnReason,TotalCost,Revenue,Profit
3,2.14,3.38,0,0,0:00:00,ORD00001,PRDCT0056,No,NULL,NULL,NULL,NULL,NULL,6.42,10.14,3.72
2,4.17,5.31,0,0,0:00:00,ORD00002,PRDCT0028,No,NULL,NULL,NULL,NULL,NULL,8.34,10.62,2.28
13,20.36,25.77,0.05,0,0:00:00,ORD00002,PRDCT0001,No,NULL,NULL,NULL,NULL,NULL,264.68,318.2595,53.5795
2,0.9,1.35,0,0,0:00:00,ORD00003,PRDCT0030,No,NULL,NULL,NULL,NULL,NULL,1.8,2.7,0.9
3,12.84,20.35,0,0,0:00:00,ORD00004,PRDCT0003,No,NULL,NULL,NULL,NULL,NULL,38.52,61.05,22.53
5,2.84,3.6,0,0,0:00:00,ORD00004,PRDCT0017,No,NULL,NULL,NULL,NULL,NULL,14.2,18,3.8
4,1.65,2.36,0,0,0:00:00,ORD00004,PRDCT0021,No,NULL,NULL,NULL,NULL,NULL,6.6,9.44,2.84
3,13.56,21.3,0,0,0:00:00,ORD00004,PRDCT0008,No,NULL,NULL,NULL,NULL,NULL,40.68,63.9,23.22
2,2.64,3.75,0,0,0:00:00,ORD00004,PRDCT0024,No,NULL,NULL,NULL,NULL,NULL,5.28,7.5,2.22
1,19.79,30.81,0.15,0,0:00:00,ORD00005,PRDCT0007,No,NULL,NULL,NULL,NULL,NULL,19.79,26.1885,6.3985
4,3.94,6.28,0.2,0,0:00:00,ORD00005,PRDCT0011,No,NULL,NULL,NULL,NULL,NULL,15.76,20.096,4.336
3,15.3,19.36,0.3,0,0:00:00,ORD00005,PRDCT0001,No,NULL,NULL,NULL,NULL,NULL,45.9,40.656,-5.244
2,20.37,28.3,0.25,0,0:00:00,ORD00005,PRDCT0002,No,NULL,NULL,NULL,NULL,NULL,40.74,42.45,1.71
