CustomerID,Gender,Age,City,Region,CustomerSegment,SignUpDate
CSTMR0001,Male,29,Istanbul,Marmara,Standard,04/13/2020
CSTMR0002,Other,40,Istanbul,Marmara,Standard,08-04-2020
cstmr0003,Female,36,Bursa,Marmara,Premium,"Aug 14, 2022"
cstmr0004,Male,18,Istanbul,Marmara,Premium,"Mar 26, 2022"
CSTMR0005,Male,43,Izmir,Aegean,Premium,04/04/2021
CSTMR0006,Other,49,Istanbul,Marmara,Standard,07-02-2020
cstmr0007,Male,36,Bursa,Marmara,Premium,10/10/2020
CSTMR0008,Female,48,Istanbul,Marmara,Standard,26/03/2022
CSTMR0009,Female,25,Antalya,Mediterranean,Premium,2021.04.21
CSTMR0010,Male,43,Ankara,Central Anatolia,Standard,26-11-2022
CSTMR0011,Female,32,Bursa,Marmara,Standard,30/03/2023
cstmr0012,Male,47,Izmir,Aegean,Standard,19/07/2021
cstmr0013,Female,40,Trabzon,Black Sea,Standard,08/19/2022
CSTMR0014,Male,28,Istanbul,Marmara,Premium,01/02/2023
CSTMR0015,Male,21,Ankara,Central Anatolia,Standard,07-09-22
cstmr0016,MALE,26,Istanbul,Marmara,Premium,02-05-20
cstmr0017,Female,49,Eskisehir,Central Anatolia,Standard,04-15-21
CSTMR0018,Female,45,BURSA,Marmara,Standard,"May 03, 2022"
CSTMR0019,Male,33,Istanbul,Marmara,Standard,"Dec 13, 2022"
CSTMR0020,Other,45,Ankara,Central Anatolia,Standard,30/09/2022
CSTMR0021,MALE,33,Bursa,Marmara,Premium,05-16-22
CSTMR0022,Male,43,Adana,Mediterranean,Standard,09/27/2021
cstmr0023,Female,22,Ankara,Central Anatolia,Standard,01-10-22
CSTMR0024,Female,18,Bursa,Marmara,VIP,10-09-22
CSTMR0025,Male,19,Istanbul,Marmara,Premium,2021.05.02
CSTMR0026,Male,33,Kocaeli,Marmara,Premium,2021.12.04
CSTMR0027,Female,19,Bursa,Marmara,Standard,2022-09-23
CSTMR0028,Female,32,Istanbul,marmara,Premium,"Dec 06, 2022"
cstmr0029,Male,35,Istanbul,marmara,Standard,03/07/2021
cstmr0030,Female,60,Bursa,Marmara,Premium,2020.12.22
cstmr0031,Male,32,Bursa,Marmara,Standard,01-31-22
cstmr0032,Male,39,Kocaeli,Marmara,VIP,05-30-21
cstmr0033,Female,52,Izmir,Aegean,Premium,2021-01-14
CSTMR0034,Male,44,Ankara,Central Anatolia,Standard,2023-04-06
CSTMR0035,Female,32,Istanbul,Marmara,Premium,"Aug 27, 2022"
CSTMR0036,Male,40,Istanbul,Marmara,Premium,2022.04.05
CSTMR0037,Male,42,Ankara,Central Anatolia,Standard,01/30/2022
cstmr0038,OTHER,44,Izmir,Aegean,Standard,01/08/2022
CSTMR0039,Female,53,Istanbul,Marmara,Premium,06 Feb 2020
CSTMR0040,Female,30,Aydin,Aegean,VIP,05-16-22
CSTMR0041,Female,53,ISTANBUL,Marmara,Standard,2021-11-29
CSTMR0042,Female,38,Antalya,Mediterranean,VIP,03-16-20
CSTMR0043,Female,35,Kocaeli,Marmara,Standard,23-05-2020
cstmr0044,Female,62,Istanbul,Marmara,VIP,"Jun 09, 2022"
CSTMR0045,Other,33,Antalya,Mediterranean,Standard,07-23-22
CSTMR0046,Female,40,Aydin,Aegean,Standard,02/01/2022
CSTMR0047,Male,42,Izmir,Aegean,Standard,2023-04-12
CSTMR0048,Female,31,ANKARA,Central Anatolia,Standard,09-25-21
CSTMR0049,Female,43,Ankara,central anatolia,VIP,05/14/2021
CSTMR0050,Male,20,Izmir,Aegean,Standard,"Dec 29, 2022"
CSTMR0051,Female,55,Istanbul,Marmara,Standard,02/08/2020
CSTMR0052,Male,27,Bursa,marmara,Premium,17/12/2022
cstmr0053,Other,44,Izmir,Aegean,Standard,2020-12-13
CSTMR0054,Male,46,Istanbul,Marmara,Standard,03-04-2022
