OrderID,ProductID,Quantity,UnitCost,UnitPrice,DiscountRate,IsReturned,ReturnDate,ReturnTime,ReturnReason
ORD00001,PRDCT0056,3,2.14,3.38,0.0,0,9999-12-31,00:00:00,
ORD00002,prdct0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,
ORD00002,prdct0001,13,20.36,25.77,0.05,0,9999-12-31,00:00:00,
ORD00003,PRDCT0030,2,0.9,1.35,0.0,0,9999-12-31,00:00:00,
ORD00004,PRDCT0003,3,12.84,20.35,0.0,0,9999-12-31,00:00:00,
ORD00004,prdct0017,5,2.84,3.6,0.0,0,9999-12-31,00:00:00,
ORD00004,PRDCT0021,4,1.65,2.36,0.0,0,9999-12-31,00:00:00,
ORD00004,prdct0008,3,13.56,21.3,0.0,0,9999-12-31,00:00:00,
ord00004,prdct0024,2,2.64,3.75,0.0,0,9999-12-31,00:00:00,
ORD00005,PRDCT0007,1,19.79,30.81,0.15,0,9999-12-31,00:00:00,
ORD00005,PRDCT0011,4,3.94,6.28,0.2,0,9999-12-31,00:00:00,
ORD00005,PRDCT0001,3,15.3,19.36,0.3,0,9999-12-31,00:00:00,
ORD00005,PRDCT0002,2,20.37,28.3,0.25,0,9999-12-31,00:00:00,
ord00005,PRDCT0014,2,2.39,3.4,0.25,0,9999-12-31,00:00:00,
ORD00006,PRDCT0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,
ORD00006,PRDCT0015,12,4.99,8.19,0.0,0,9999-12-31,00:00:00,
ORD00006,prdct0025,1,3.17,4.96,0.0,0,9999-12-31,00:00:00,
ord00007,PRDCT0010,2,20.04,30.45,0.3,0,9999-12-31,00:00:00,
ORD00007,PRDCT0028,2,4.58,5.84,0.4,0,9999-12-31,00:00:00,
ORD00007,PRDCT0017,1,2.84,3.6,0.4,0,9999-12-31,00:00:00,
ord00007,PRDCT0026,2,6.47,8.56,0.2,0,9999-12-31,00:00:00,
ORD00007,prdct0046,1,2.69,3.63,0.4,0,9999-12-31,00:00:00,
ORD00008,PRDCT0087,3,9.5,14.74,0.15,0,9999-12-31,00:00:00,
ORD00008,prdct0076,1,15.49,23.92,0.0,0,9999-12-31,00:00:00,
ord00009,prdct0028,2,4.17,5.31,0.0,0,9999-12-31,00:00:00,
ord00009,PRDCT0009,1,16.52,23.44,0.0,0,9999-12-31,00:00:00,
ord00009,PRDCT0010,1,18.22,27.68,0.0,0,9999-12-31,00:00:00,
ord00010,prdct0003,2,9.65,15.29,0.0,0,9999-12-31,00:00:00,
ORD00010,PRDCT0015,2,4.12,6.76,0.05,0,9999-12-31,00:00:00,
ord00010,PRDCT0006,1,9.17,11.56,0.0,0,9999-12-31,00:00:00,
ord00011,PRDCT0075,1,4.36,6.67,0.0,0,9999-12-31,00:00:00,
ORD00011,prdct0079,1,14.41,19.17,0.0,0,9999-12-31,00:00:00,
ORD00011,PRDCT0085,3,4.04,5.62,0.1,0,9999-12-31,00:00:00,
ord00011,PRDCT0041,1,6.36,8.78,0.1,0,9999-12-31,00:00:00,
ORD00012,PRDCT0003,2,12.84,20.35,0.0,0,9999-12-31,00:00:00,
ORD00012,PRDCT0029,18,1.35,2.11,0.0,1,09 Jun 2025,22:56:54,Molded/Rotten
ORD00012,prdct0010,1,20.04,30.45,0.0,0,9999-12-31,00:00:00,
ord00013,prdct0014,1,3.5,4.98,0.0,0,9999-12-31,00:00:00,
ord00013,prdct0008,1,13.56,21.3,0.0,0,9999-12-31,00:00:00,
ORD00013,prdct0016,2,5.8,9.15,0.1,1,06-08-25,08:11:28,Expired Date
ORD00014,PRDCT0066,2,4.17,6.47,0.0,0,9999-12-31,00:00:00,
ord00014,prdct0076,2,10.58,16.34,0.0,0,9999-12-31,00:00:00,
ORD00014,prdct0071,2,11.11,17.08,0.0,0,9999-12-31,00:00:00,
ord00015,PRDCT0055,1,2.23,3.62,0.1,0,9999-12-31,00:00:00,
ord00015,PRDCT0049,2,3.39,4.95,0.0,0,9999-12-31,00:00:00,
ORD00015,PRDCT0089,3,9.26,13.66,0.05,0,9999-12-31,00:00:00,
ORD00016,PRDCT0003,2,9.65,15.29,0.0,0,9999-12-31,00:00:00,
ord00016,prdct0009,3,13.65,19.37,0.05,0,9999-12-31,00:00:00,
ord00016,PRDCT0029,3,1.01,1.58,0.0,0,9999-12-31,00:00:00,
ORD00017,PRDCT0008,2,12.33,19.37,0.0,0,9999-12-31,00:00:00,
