OrderID,CustomerID,OrderDate,OrderTime
ord00001,CSTMR0983,"Apr 10, 2021",12:53:24
ORD00002,cstmr0703,"Apr 21, 2024",22:08:16
ord00003,CSTMR0920,27/10/2022,10:21:26
ORD00004,CSTMR0158,07/11/2025,22:24:27
ord00005,cstmr0834,09-05-21,13:23:16
ORD00006,CSTMR0336,02-01-24,10:02:55
ord00007,CSTMR0166,10 Sep 2025,21:30:09
ORD00008,CSTMR0102,2026.04.14,11:10:46
ORD00009,cstmr0271,07/20/2024,08:15:36
ORD00010,CSTMR0678,2022.02.05,08:56:08
ORD00011,CSTMR0628,2026-03-02,14:46:02
ord00012,cstmr0112,2025-06-07,11:56:54
ORD00013,CSTMR0229,05-06-2025,11:11:28
ord00014,CSTMR0092,"Apr 14, 2022",13:43:33
ORD00015,cstmr0515,2023-07-28,12:42:59
ORD00016,cstmr0864,21/02/2022,12:41:27
ord00017,CSTMR0601,"May 17, 2024",14:09:52
ORD00018,CSTMR0130,"Mar 17, 2023",10:21:35
ord00019,CSTMR0756,03/03/2022,13:11:01
ord00020,CSTMR0819,29-08-2025,21:11:47
ord00021,CSTMR0977,2022.12.11,22:29:18
ORD00022,CSTMR0809,2023.09.11,22:24:01
ORD00023,CSTMR0288,2021.03.10,19:17:36
ORD00024,CSTMR0483,23 Aug 2024,10:52:38
ord00025,cstmr0711,03-08-23,09:10:21
ord00026,CSTMR0471,04/11/2025,13:45:33
ORD00027,CSTMR0222,19/08/2024,19:01:28
ORD00028,CSTMR0235,02-06-2024,19:37:07
ORD00029,CSTMR0180,2024-07-11,16:22:03
ORD00030,CSTMR0741,2026.03.30,16:53:04
ORD00031,cstmr0518,05-10-26,16:51:34
ord00032,CSTMR0219,20-05-2021,20:35:22
ORD00033,cstmr0035,17-05-2025,11:27:56
ORD00034,CSTMR0153,10/09/2024,08:50:05
ORD00035,cstmr0275,2026.02.07,19:21:59
ORD00036,cstmr0125,"Apr 16, 2023",13:50:23
ORD00037,CSTMR0071,2023.05.17,14:23:01
ORD00038,CSTMR0716,01 Sep 2024,15:31:25
ORD00039,CSTMR0897,10/21/2025,13:18:53
ORD00040,CSTMR0191,"Jul 09, 2023",20:32:50
ORD00041,cstmr0969,10-04-23,08:03:35
ORD00042,cstmr0842,2025.01.13,14:45:50
ORD00043,cstmr0156,28-02-2021,08:40:09
ORD00044,CSTMR0110,21/01/2023,17:39:37
ORD00045,cstmr0043,"Jun 03, 2023",10:11:19
ORD00046,CSTMR0338,12/09/2025,20:38:46
ORD00047,cstmr0653,04/09/2024,18:14:42
ord00048,CSTMR0384,2025.12.28,08:48:25
ord00049,CSTMR0812,04-01-25,21:57:25
ORD00050,CSTMR0699,06-26-23,18:42:11
ord00051,cstmr0899,"Dec 08, 2023",14:36:50
ORD00052,cstmr0899,08-10-2024,19:57:24
ord00053,CSTMR0410,07/26/2021,08:36:40
ORD00054,CSTMR0148,12/05/2021,20:29:33
ord00055,CSTMR0555,2025-03-18,12:45:48
ord00056,CSTMR0607,2021.10.25,12:42:35
ord00057,CSTMR0417,2025-12-09,11:48:13
ORD00058,CSTMR0710,"Sep 03, 2022",20:45:32
ord00059,CSTMR0897,2023.04.01,08:32:07
ORD00060,cstmr0840,19-04-2021,12:59:21
ord00061,cstmr0495,10-28-22,13:13:42
ORD00062,CSTMR0201,09-17-24,21:52:58
ord00063,cstmr0163,05 Jan 2024,10:28:29
ORD00064,cstmr0296,27 Jan 2024,09:39:37
ORD00065,cstmr0269,02/14/2023,13:16:49
ORD00066,cstmr0746,24-11-2024,21:43:26
ORD00067,cstmr0623,2025-07-25,21:53:15
ord00068,CSTMR0647,"Feb 03, 2026",10:16:01
ord00069,CSTMR0339,2025-05-08,17:00:50
ord00070,cstmr0673,2023-10-06,12:14:15
ORD00071,CSTMR0293,04/28/2026,21:52:29
ord00072,CSTMR0799,07-19-25,11:48:12
ORD00073,cstmr0588,15-03-2026,17:12:27
ORD00074,cstmr0292,11/02/2025,11:47:50
ORD00075,CSTMR0105,2021.02.26,18:58:25
ORD00076,CSTMR0473,13-04-2023,14:16:46
ord00077,CSTMR0416,02/16/2024,16:31:05
ord00078,cstmr0059,"Dec 04, 2025",11:21:17
ord00079,cstmr0357,04/24/2024,13:51:53
ORD00080,CSTMR0806,05/19/2026,20:30:50
ORD00081,CSTMR0821,2025.06.30,16:51:08
ord00082,CSTMR0689,31-08-2023,17:27:12
ORD00083,CSTMR0767,10 Nov 2024,13:24:39
ord00084,CSTMR0521,04-10-23,11:12:26
ORD00085,cstmr0865,04 Mar 2024,12:37:29
ord00086,CSTMR0757,01/03/2025,14:35:30
ord00087,CSTMR0584,04/25/2026,19:45:52
ORD00088,CSTMR0656,2026-03-01,09:34:18
ORD00089,cstmr0748,12-13-25,17:34:16
ord00090,CSTMR0664,07/24/2024,16:12:26
ord00091,cstmr0447,08-24-25,18:28:18
ord00092,cstmr0536,05/18/2026,20:23:39
ORD00093,CSTMR0794,2025-08-31,19:10:13
ORD00094,cstmr0653,18 Nov 2023,19:29:28
ORD00095,CSTMR0776,"Nov 03, 2025",13:32:33
ord00096,CSTMR0759,22 Apr 2023,20:03:28
ORD00097,CSTMR0121,2025.08.13,12:16:47
ORD00098,CSTMR0822,25/02/2023,11:25:33
ord00099,CSTMR0658,"Apr 04, 2024",13:46:20
ORD00100,CSTMR0154,07-29-23,20:28:26
ORD00101,CSTMR0136,2022-01-14,14:53:25
ord00102,CSTMR0624,22 Sep 2022,10:18:05
ord00103,cstmr0159,2023-08-26,19:36:20
ord00104,CSTMR0233,19/12/2024,19:03:43
ord00105,cstmr0272,03 May 2024,21:02:26
ord00106,CSTMR0688,05-06-2024,15:46:39
ord00107,CSTMR0881,24-11-2023,12:11:24
ORD00108,CSTMR0764,11/15/2024,19:05:33
